Title,Event Type,Date,Time,City,Organization,Rating,Volunteers Engaged,Min Duration,Max Duration,Duration String
Become PCA's Chapter Head,Community Service,Oct 28 2024 - Oct 28 2025,9:00 AM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,17,6,18,6 - 18 hours
Blood Donation Drive 2024,Social Responsibility,Jan 09 2024 - Dec 31 2024,9:00 AM - 5:00 PM,Lahore,Sundas foundation,5,12,2,18,2 - 18 hours
Meals That Matter,Social Responsibility,Aug 16 2024 - Dec 01 2024,7:00 AM - 11:59 AM,Lahore,Meherban Foundation,5,2,9,20,9 - 20 hours
Volunteer Flagship Training Program Batch 39,Community Service,Oct 28 2024 - Nov 05 2024,3:00 PM - 5:00 AM,Lahore,Pakistan Citizens Alliance,5,19,5,16,5 - 16 hours
Handwritten Assignment Support for Eye-Impaired Students,Social Responsibility,Oct 15 2024 - Oct 31 2024,2:00 AM - 12:00 PM,Sahiwal,University of Sahiwal,3,4,9,17,9 - 17 hours
Install a Bird Feeder,"Teaching, Workshops",Jun 04 2024 - Oct 31 2024,7:00 AM - 11:59 PM,,Milkar,4,4,3,19,3 - 19 hours
Sangam: The Festival of Confluence,Social Responsibility,Oct 26 2024 - Oct 26 2024,7:00 AM - 11:59 AM,Lahore,Youth General Assembly,3,19,6,11,6 - 11 hours
Kids Athletic Activity 2024,Community Service,Oct 22 2024 - Oct 23 2024,9:00 AM - 11:59 PM,Lahore,Hamza Foundation Academy For Deaf,5,13,5,13,5 - 13 hours
Volunteer Flagship Training Program Batch 38,Community Service,Oct 14 2024 - Oct 22 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,5,12,3,15,3 - 15 hours
Community Participation,Community Service,Oct 17 2024 - Oct 17 2024,1:00 PM - 5:00 PM,Lahore,Hafiz Muhammad Saad Irshad,4,1,6,19,6 - 19 hours
Seminar on Polycystic Ovary Syndrome (PCOS),"Teaching, Workshops",Oct 11 2024 - Oct 16 2024,7:00 AM - 11:59 PM,Lahore,Youth General Assembly,3,3,3,14,3 - 14 hours
UOS & MilKar: Meetup for Change and Awareness,Social Responsibility,Oct 16 2024 - Oct 16 2024,3:00 PM - 5:00 PM,Sahiwal,University of Sahiwal,5,11,9,20,9 - 20 hours
Rahbar Cycle 43,"Teaching, Workshops",Sep 07 2024 - Oct 12 2024,8:30 PM - 1:30 PM,Karachi,The Citizens Foundation,4,11,3,17,3 - 17 hours
TCF Rahbar,Social Responsibility,Sep 07 2024 - Oct 12 2024,8:30 AM - 1:30 PM,Karachi,The Citizens Foundation,5,5,3,17,3 - 17 hours
ANNUAL VOLUNTEERSCONGRESS (VCON 2024),Community Service,Oct 07 2024 - Oct 12 2024,10:00 AM - 6:00 AM,Lahore,INFECTION PREVENTION AND CONTROL FOUNDATION,4,20,7,14,7 - 14 hours
"SAWAL"" Book Launch Ceremony and Mushaira Powered by Ishqabad""",Community Service,Oct 03 2024 - Oct 10 2024,4:30 PM - 10:00 PM,Lahore,Milkar,3,11,8,11,8 - 11 hours
Volunteer Flagship Training Program Batch 37,Community Service,Oct 02 2024 - Oct 09 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,5,20,6,12,6 - 12 hours
Care & Kindness Day,Community Service,Oct 06 2024 - Oct 07 2024,7:00 AM - 11:59 PM,Islamabad,Milkar,5,16,6,17,6 - 17 hours
Volunteer Flagship Training Program Batch 36,Community Service,Sep 23 2024 - Oct 03 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,17,10,15,10 - 15 hours
Connecting with Our Elders: A Meet and Greet,Community Service,Sep 24 2024 - Oct 03 2024,4:00 PM - 11:59 PM,Karachi,Milkar,4,5,1,11,1 - 11 hours
Mushaira - In Memory of Habib Jalib,Community Service,Sep 23 2024 - Oct 01 2024,7:00 AM - 11:59 PM,Lahore,Habib Jalib Memorial Foundation,5,4,3,14,3 - 14 hours
Message of Hope: Call for Content Writers,Community Service,May 30 2024 - Sep 30 2024,9:00 AM - 11:00 PM,,Mil Kar,4,5,6,11,6 - 11 hours
Wall Murals,Community Service,Sep 14 2024 - Sep 28 2024,7:00 AM - 11:59 PM,Lahore,World Wide Fund for Nature Pakistan,5,5,5,19,5 - 19 hours
The Art of Networking - Tech for Good,"Events, Conferences",Sep 26 2024 - Sep 27 2024,10:00 AM - 11:59 AM,Lahore,Sir Syed College Of Computer Science,4,5,4,16,4 - 16 hours
Distribution of Plants And Plantation Drive,Community Service,Sep 25 2024 - Sep 25 2024,9:00 AM - 5:00 PM,Khairpur,Shah Abdul Latif University Khairpur,5,5,9,12,9 - 12 hours
DIALOGUE ON INTERFAITH HARMONY AND PEACE BUILDING,Community Service,Sep 19 2024 - Sep 19 2024,12:00 PM - 2:30 AM,Khairpur,Shah Abdul Latif University Khairpur,5,4,10,15,10 - 15 hours
LAUNCHING CEREMONEY OF YOUTH ASSEBMLY 2024,Social Responsibility,Sep 12 2024 - Sep 19 2024,4:00 PM - 8:00 PM,Khairpur,Shah Abdul Latif University Khairpur,3,4,8,18,8 - 18 hours
Inclusive Drive: Job Fair 2024 for Person with Disabilities,Community Service,Sep 19 2024 - Sep 19 2024,9:00 AM - 5:00 AM,Lahore,Hamza Foundation Academy For Deaf,3,2,4,17,4 - 17 hours
Volunteer Flagship Training Program Batch 35,Community Service,Sep 09 2024 - Sep 19 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,2,8,16,8 - 16 hours
Mehfil e Milaad by Team Ibn e Akram,"Events, Conferences",Sep 17 2024 - Sep 17 2024,10:20 AM - 2:00 PM,Lahore,Ibn e Akram Welfare Foundation,4,16,7,14,7 - 14 hours
Monsoon Plantation Drive 2024,Community Service,Aug 12 2024 - Sep 15 2024,7:00 AM - 11:59 PM,,Milkar,5,7,2,20,2 - 20 hours
Book Collection Drive 2024,Community Service,Jun 07 2024 - Sep 15 2024,9:00 AM - 11:59 PM,Lahore,Aghosh Orphan Care Home,3,5,9,17,9 - 17 hours
Milkar Fellowship 2024,"Events, Conferences",Jun 22 2024 - Sep 13 2024,11:00 AM - 11:59 PM,,Milkar,3,8,4,11,4 - 11 hours
Be our Social Media Warrior,Social Responsibility,Aug 12 2024 - Sep 09 2024,12:00 PM - 9:30 PM,Lahore,Pakistan Citizens Alliance,5,16,5,15,5 - 15 hours
CLEAN AND GREEN ACTIVITY,"Teaching, Workshops",Sep 08 2024 - Sep 08 2024,9:00 AM - 2:00 PM,Khairpur,Shah Abdul Latif University Khairpur,4,7,10,16,10 - 16 hours
Climate Change Awareness Session,Social Responsibility,Sep 07 2024 - Sep 07 2024,10:00 AM - 11:59 PM,Lahore,Climate Dost,1,4,4,18,4 - 18 hours
DEFENCE DAY SEMINAR (YADGAR E SHOUDA),"Events, Conferences",Sep 06 2024 - Sep 06 2024,9:00 AM - 2:00 PM,Khairpur,Shah Abdul Latif University Khairpur,5,16,6,12,6 - 12 hours
Green Pakistan Initiative,"Teaching, Workshops",Aug 24 2024 - Sep 04 2024,7:00 AM - 11:59 AM,,Muhammad Ahmad Siddiqui,3,1,1,17,1 - 17 hours
She Loves Tech Finale Round,"Teaching, Workshops",Sep 04 2024 - Sep 04 2024,7:00 AM - 11:59 PM,Karachi,CIRCLE Women,5,19,10,14,10 - 14 hours
Volunteer Flagship Training Program Batch 34,Community Service,Aug 26 2024 - Sep 03 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,5,16,1,14,1 - 14 hours
A Day of Joy for Thalassemia Heroes,"Teaching, Workshops",Aug 31 2024 - Sep 01 2024,11:00 AM - 11:59 PM,Lahore,Ibn e Akram Welfare Foundation,5,15,2,16,2 - 16 hours
Plantation Drive,Community Service,Aug 13 2024 - Aug 31 2024,10:00 AM - 3:00 AM,Karachi,"SINA Health,Eduaction & Welfare Trust",3,4,10,18,10 - 18 hours
Promise of Insulin Photography Drive,Community Service,Aug 10 2024 - Aug 31 2024,11:00 AM - 6:50 AM,Multan,Meethi Zindagi,3,16,5,12,5 - 12 hours
Tree Plantation Drive,Community Service,Aug 06 2024 - Aug 31 2024,9:00 AM - 5:00 AM,Rahim Yar Khan,Musharaf Iqbal Foundation,4,13,3,17,3 - 17 hours
Volunteer Program at Khelzaar Cricket League Season 1,Community Service,Aug 30 2024 - Aug 31 2024,7:00 AM - 11:59 PM,Lahore,Khelzaar,2,11,1,18,1 - 18 hours
Skills Gala 2024 Pakistan's Largest Expo & Conference on IT Skills & Jobs,"Events, Conferences",Aug 23 2024 - Aug 25 2024,9:00 AM - 11:59 PM,Lahore,Milkar,4,17,9,15,9 - 15 hours
Seminar on Bhittai's Message of Peace And Interfaith Harmony,"Teaching, Workshops",Aug 21 2024 - Aug 21 2024,9:00 AM - 11:57 PM,Khairpur,Shah Abdul Latif University Khairpur,5,8,9,17,9 - 17 hours
Monsoon Plantation Drive 2024,Community Service,Aug 21 2024 - Aug 21 2024,9:00 AM - 2:00 AM,Khairpur,Shah Abdul Latif University Khairpur,4,5,5,11,5 - 11 hours
Pakistan’s Home Plantation Drive 2024,Community Service,Aug 14 2024 - Aug 18 2024,8:00 AM - 6:00 PM,,The Green Tribe PK,4,14,9,11,9 - 11 hours
"Awareness & Education on Growth Mindset, Health and Hygiene",Community Service,Aug 13 2024 - Aug 16 2024,9:00 PM - 11:59 PM,Islamabad,Nida Welfare Foundation,3,18,6,14,6 - 14 hours
Independence Day: Spreading Joy to Disabled Orphans,Community Service,Aug 14 2024 - Aug 14 2024,2:30 PM - 6:30 PM,Lahore,Ibn e Akram Welfare Foundation,5,5,5,12,5 - 12 hours
Mass Ride Azadi Edition,Community Service,Aug 12 2024 - Aug 14 2024,5:00 AM - 11:59 PM,Lahore,Milkar,3,5,3,11,3 - 11 hours
Small Handa Big Impact (2.0),"Teaching, Workshops",Aug 11 2024 - Aug 13 2024,12:30 PM - 10:30 AM,Lahore,Meherban Foundation,5,10,10,12,10 - 12 hours
She Loves Tech Karachi Round,"Teaching, Workshops",Aug 09 2024 - Aug 09 2024,11:00 AM - 6:00 PM,Karachi,CIRCLE Women,4,14,8,13,8 - 13 hours
Volunteer Flagship Training Program Batch 31,Community Service,Jul 29 2024 - Aug 07 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,4,9,20,9 - 20 hours
Free Medical Camp,Social Responsibility,Aug 04 2024 - Aug 05 2024,8:00 AM - 11:59 PM,Lahore,AL Ghareem Welfare,4,6,4,13,4 - 13 hours
"Small Hands, Big Impact","Teaching, Workshops",Aug 01 2024 - Aug 05 2024,9:00 AM - 11:59 PM,Lahore,Meherban Foundation,4,18,6,15,6 - 15 hours
4 Weeks Hybrid Learnship Program (A Digital Internship Program),Social Responsibility,Jul 01 2024 - Aug 01 2024,10:00 AM - 2:00 PM,,Pakistan Youth Parliament,2,4,7,16,7 - 16 hours
